CIS_OBEC;NAZ_OBEC;TYP_OBEC;OKRSKY_CELKEM;OKRSKY_ZPRAC;OKRSKY_ZPRAC_PROC;ZAPSANI_VOLICI;VYDANE_OBALKY;UCAST_PROC;ODEVZDANE_OBALKY;PLATNE_HLASY;PLATNE_HLASY_PROC;KSTRANA;HLASY;PROC_HLASU
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;77;362;6.93
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;82;18;0.34
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;3;29;0.66
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;5;33;0.75
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;7;929;21.14
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;16;544;12.38
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;18;3;0.06
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;19;411;9.35
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;23;3;0.06
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;28;3;0.06
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;33;290;6.60
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;41;89;2.02
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;42;220;5.00
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;45;120;2.73
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;50;1106;25.17
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;63;243;5.53
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;70;131;2.98
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;71;17;0.38
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;75;18;0.40
502081;Ústí nad Labem-Neštěmice;MCMO;21;21;100.00;18007;4461;24.77;4457;4393;98.56;77;184;4.18
